"Sex","N","TP","FP","TN","FN","TPR","FPR","PPV","NPV","Accuracy"
"Male",1813,88,206,1205,314,0.219,0.146,0.299,0.793,0.713
"Female",2633,69,172,1957,435,0.137,0.081,0.286,0.818,0.769
