"Interaction","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Amyloid+:Race_EthnicityHispanic",-0.0683100726978015,0.415226910568425,-0.882363488993615,0.745743343598012,0.869335148338857
"Amyloid+:Race_EthnicityOther",-1.44146201022039,0.741488034013444,-2.89515119044428,0.0122271700034997,0.0519575177273771
"Amyloid+:Race_EthnicityWhite",-0.434810091898193,0.316408641494348,-1.05513003985481,0.185509856058422,0.169448186194395
"Tau+:Race_EthnicityHispanic",0.105659221406673,0.571637708612392,-1.01503796303736,1.22635640585071,0.853366185869609
"Tau+:Race_EthnicityOther",-0.908329833924604,0.958631525407456,-2.78772938237514,0.971069714525928,0.343421959841342
"Tau+:Race_EthnicityWhite",0.173145711689291,0.407507708135959,-0.625774188566762,0.972065611945345,0.670938039186616
"Neurodegeneration+:Race_EthnicityHispanic",-0.367285239180265,0.430084056362201,-1.21046612766537,0.475895649304843,0.393159848075916
"Neurodegeneration+:Race_EthnicityOther",0.210571804301556,0.718024775899476,-1.19711759859827,1.61826120720138,0.769333129800124
"Neurodegeneration+:Race_EthnicityWhite",0.212742437918217,0.33136728303146,-0.436903964891145,0.862388840727579,0.520897487137526
