"Race_Ethnicity","N","Mean_Predicted","Mean_Observed","Calibration_Slope","Calibration_Intercept"
"Black",738,0.191417867544498,0.307588075880759,1.29165418285376,0.0603423865939623
"Hispanic",661,0.185085130873804,0.307110438729198,1.77726750927781,-0.0218353508232432
"Other",143,0.185837633947682,0.230769230769231,1.65248065754319,-0.0763238647729061
"White",2885,0.211028617190332,0.151126516464471,0.988475946864638,-0.0574701957282776
