"Model","Biomarker","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Base (Demographics Only)","Amyloid+",0.108369041281093,0.136729337859023,-0.1670179814602,0.383756064022386,0.432180935873177
"Base (Demographics Only)","Tau+",-0.739503124153769,0.188225896141635,-1.11860953944777,-0.360396708859768,0.000290892813490966
"Base (Demographics Only)","Neurodegeneration+",-0.270426933641241,0.152591150380409,-0.57776128673565,0.0369074194531675,0.0831263102798438
"Adjusted for Vascular Comorbidity","Amyloid+",0.11036682951997,0.132923751691193,-0.157884161638009,0.37861782067795,0.411063136548108
"Adjusted for Vascular Comorbidity","Tau+",-0.713406905870437,0.194981396647453,-1.10689529483465,-0.319918516906226,0.000701164002932226
"Adjusted for Vascular Comorbidity","Neurodegeneration+",-0.204119400567775,0.145334468238523,-0.497416231708787,0.0891774305732363,0.167528390909083
