"Interaction","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Amyloid+: × Low Education",0.665218438376319,0.301897635477242,0.0733476494568143,1.25708922729582,0.0276140230935523
"Tau+: × Low Education",0.157632501622035,0.371449594639537,-0.570595012566979,0.885860015811049,0.671315819622798
"Neurodegeneration+: × Low Education",-0.643483685207571,0.3183002823334,-1.26751188907263,-0.0194554813425168,0.0432753735151273
