"Biomarker","Estimate","CI_Lower","CI_Upper"
"Amyloid+",0.213835112306052,-0.0111150758054572,0.427524292077156
"Tau+",-0.813329909050246,-1.11495141859428,-0.515838016372821
"Neurodegeneration+",-0.491314937813707,-0.754318585998778,-0.204993462690191
