"CVD_Status","N","Biomarker","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"No CVD",1341,"Amyloid+",0.0345344606116068,0.206677461090735,-0.370915170280403,0.439984091503616,0.867321898997697
"No CVD",1341,"Tau+",-1.08161243207737,0.296325192631434,-1.66292855306297,-0.500296311091765,0.000272317300359546
"No CVD",1341,"Neurodegeneration+",-0.294398916121204,0.270636082324537,-0.82531940984824,0.236521577605832,0.276879035588142
"Any CVD",2955,"Amyloid+",0.273162427131085,0.13984891333745,-0.0010491802315738,0.547374034493743,0.0508824656466298
"Any CVD",2955,"Tau+",-0.721329552844911,0.175905146572542,-1.06623915445641,-0.376419951233411,4.23105541373175e-05
"Any CVD",2955,"Neurodegeneration+",-0.514799353865739,0.176803670739023,-0.861470755051257,-0.168127952680222,0.00362169772601529
