"AD_pathology","n","Unweighted_Pct","Weighted_Pct","Difference","Ratio"
"AD pathology",535,12.0849333634515,11.6266624481682,-0.45827091528335,0.96207915248674
"Amyloid only",1428,32.256607183194,32.3221063003672,0.0654991171731538,1.00203056436783
"Normal biomarkers",1145,25.8640162638356,26.7346301899926,0.870613926157038,1.03366120393971
"Suspected non-AD",1319,29.7944431895189,29.316601061472,-0.477842128046834,0.98396203865911
