"Model","Biomarker","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Weighted","Amyloid+",0.108369041281093,0.136729337859023,-0.1670179814602,0.383756064022386,0.432180935873177
"Weighted","Tau+",-0.739503124153769,0.188225896141635,-1.11860953944777,-0.360396708859768,0.000290892813490966
"Weighted","Neurodegeneration+",-0.270426933641241,0.152591150380409,-0.57776128673565,0.0369074194531675,0.0831263102798438
"Missingness-Adjusted","Amyloid+",0.106526026242836,0.136480256764619,-0.168359321422112,0.381411373907783,0.439169523360767
"Missingness-Adjusted","Tau+",-0.741873482280969,0.187870188538263,-1.12026346568557,-0.36348349887637,0.000273395884784291
"Missingness-Adjusted","Neurodegeneration+",-0.269153239569267,0.151942850483114,-0.575181849643522,0.036875370504988,0.0832644414664252
