"ATN_profile","N","Mean_Cog","SD_Cog","Median_Cog","IQR_Cog"
"A+T+N-",82,16.6219512195122,3.94292691904746,17,5
"A-T-N-",1145,16.2305676855895,4.13275443323498,17,5
"A+T-N-",844,16.1469194312796,4.02362271190818,17,6
"A-T+N-",90,15.2888888888889,4.06476900526553,15,5
"A+T-N+",584,14.9469178082192,4.22021486044983,15,6
"A-T-N+",838,14.5871121718377,4.57163097926555,15,6
"A+T+N+",453,13.4591611479029,4.40295920231476,14,7
"A-T+N+",391,12.7263427109974,4.54541715387717,13,6
