"Education","N","Pct_Missing_NfL","Pct_Missing_GFAP","Pct_Missing_AB","Pct_Missing_pTau","Pct_Missing_Any"
"Less than HS",841,0.118906064209275,0.118906064209275,0.118906064209275,0.832342449464923,0.951248513674197
"HS graduate",1361,0,0,0.0734753857457752,0.808229243203527,0.881704628949302
"Some college",1111,0,0,0,0.72007200720072,0.72007200720072
"College+",1152,0.0868055555555556,0.0868055555555556,0.0868055555555556,0.78125,0.868055555555556
