"Race_Ethnicity","N","Pct_Diabetes","Pct_Hypertension","Pct_Stroke","Pct_Any_CVD","Mean_CVD_Burden"
"Black",738,35.743519781719,78.1893004115226,9.95907230559345,82.0833333333333,1.24166666666667
"Hispanic",661,38.1026438569207,64.7335423197492,5.92705167173252,73.0645161290323,1.08870967741935
"Other",143,36.1702127659575,58.1560283687943,4.89510489510489,64.7482014388489,0.992805755395683
"White",2885,22.478184991274,59.3903293622985,6.87369155617586,64.643237486688,0.884629037983671
