"ATN_profile","Estimate","CI_Lower","CI_Upper"
"A-T-N-",25.8556584594534,24.531285294782,27.0612152699345
"A-T-N+",18.9100745425796,17.8224531285295,20.0135531962955
"A-T+N-",2.03458323921391,1.62638355545516,2.46216399367517
"A-T+N+",8.84556132821324,7.97323243731647,9.64535803026881
"A+T-N-",19.0867178676304,17.9353964309916,20.2846171222047
"A+T-N+",13.1926812740005,12.2204653264061,14.2308561102327
"A+T+N-",1.84933363451547,1.49028687598825,2.28201942624802
"A+T+N+",10.2253896543935,9.28337474587757,11.1587982832618
