"Model","Biomarker","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Unweighted","Amyloid+",0.214173130321819,0.11435805779296,-0.0100260078173855,0.438372268461023,0.0611579827507458
"Unweighted","Tau+",-0.815648188204868,0.148801547645467,-1.10737383814807,-0.523922538261668,4.45366325837001e-08
"Unweighted","Neurodegeneration+",-0.489785104179171,0.145848552830925,-0.775721403506183,-0.203848804852159,0.00079123053275686
"Weighted","Amyloid+",0.108369041281093,0.136729337859023,-0.1670179814602,0.383756064022386,0.432180935873177
"Weighted","Tau+",-0.739503124153769,0.188225896141635,-1.11860953944777,-0.360396708859768,0.000290892813490966
"Weighted","Neurodegeneration+",-0.270426933641241,0.152591150380409,-0.57776128673565,0.0369074194531675,0.0831263102798438
