"Race","Biomarker","Optimal_Cutpoint","Youden_Index","AUC","Sensitivity","Specificity"
"Overall","AB42_40_ratio",0.0774193548387097,0.0494286419898822,0.517795429446566,0.193370165745856,0.856058476244026
"Overall","pTau181_recode",1.98882988910036,0.201394397230091,0.612361504564054,0.501111111111111,0.70028328611898
"Overall","NfL",24.4491364417162,0.2363154207014,0.646867228814122,0.498896247240618,0.737419173460782
"Overall","GFAP",102.6446003,0.217085236275081,0.63124029910862,0.549668874172185,0.667416362102896
"White","AB42_40_ratio",0.0573514077163712,0.0686573766865737,0.525451596254516,0.714111922141119,0.354545454545455
"White","pTau181_recode",2.16046324851162,0.26126568058416,0.655251357423703,0.559633027522936,0.701632653061224
"White","NfL",24.0452756593578,0.297740175477402,0.695726885644769,0.613636363636364,0.684103811841038
"White","GFAP",102.9,0.281226498562265,0.671272487650225,0.652272727272727,0.628953771289538
"Black","AB42_40_ratio",0.0712074303405573,0.146828609986505,0.576948380566802,0.442982456140351,0.703846153846154
"Black","pTau181_recode",1.539464869542,0.21652284110796,0.608627809339897,0.572687224669604,0.643835616438356
"Black","NfL",17.6,0.260863697705803,0.645137483130904,0.557017543859649,0.703846153846154
"Black","GFAP",119.465407421404,0.207051282051282,0.616603407557355,0.416666666666667,0.790384615384615
"Hispanic","AB42_40_ratio",0.0757021127575126,0.0837169650468883,0.52525042625746,0.259803921568627,0.823913043478261
"Hispanic","pTau181_recode",1.73722688337266,0.2260348583878,0.633848092613952,0.446078431372549,0.779956427015251
"Hispanic","NfL",21.6,0.297030752916225,0.665689289501591,0.492682926829268,0.804347826086957
"Hispanic","GFAP",89,0.234517497348886,0.637523860021209,0.497560975609756,0.73695652173913
