"Race_Ethnicity","Sex","N","Pct_Diabetes","Pct_Hypertension","Pct_Any_CVD"
"Black","Male",249,34.1463414634146,79.8353909465021,83.6820083682008
"Black","Female",489,36.5503080082135,77.3662551440329,81.2889812889813
"White","Male",1243,25.7514216084484,63.1020408163265,68.3817427385892
"White","Female",1642,20.0122399020808,56.5991405770411,61.848635235732
