"Race_Ethnicity","N_AD pathology","N_Amyloid only","N_Normal biomarkers","N_Suspected non-AD","Mean_Cog_AD pathology","Mean_Cog_Amyloid only","Mean_Cog_Normal biomarkers","Mean_Cog_Suspected non-AD","SD_Cog_AD pathology","SD_Cog_Amyloid only","SD_Cog_Normal biomarkers","SD_Cog_Suspected non-AD"
"Black",65,238,206,229,12.2461538461538,14.5420168067227,14.4708737864078,12.3842794759825,4.45824646452633,4.13132513754623,4.5141107990327,4.63216415551693
"Hispanic",45,199,227,190,11.8,14.6984924623116,14.6740088105727,12.1526315789474,4.71265221601286,4.24377711249053,4.12089251221955,4.87655750955231
"Other",5,40,54,44,9.8,14.35,16.2777777777778,13.9545454545455,3.56370593624109,4.6824823572162,4.13186725876149,5.09424913085218
"White",420,951,658,856,14.4857142857143,16.1903259726604,17.3145896656535,14.9731308411215,4.31816783766662,4.00585768448741,3.63013766279627,4.26249549526895
